,arrest_key,arrest_date,pd_desc,ofns_desc,law_code,law_cat_cd,age_group,perp_sex,perp_race,latitude,longitude,arrest_boro,arrest_precinct,jurisdiction_code
250,191450487,2018-12-22,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.81194736900005,-73.95941841399997,M,26,0.0
262,183185098,2018-05-27,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.760782095000025,-73.93414527799997,Q,114,2.0
270,182968502,2018-05-21,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.69624323500005,-73.94175690599997,K,79,97.0
311,23736588,2006-08-07,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,<18,M,BLACK,40.63457521800007,-74.11720076299997,S,120,0.0
322,202852825,2019-09-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,F,BLACK,40.685432511000045,-73.85337701499998,Q,102,0.0
340,174634568,2018-02-10,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601504,F,45-64,M,BLACK,40.60274595100003,-73.75007786499998,Q,101,0.0
358,174095568,2018-01-26,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601504,F,<18,M,BLACK,40.60274595100003,-73.75007786499998,Q,101,0.0
372,174007303,2018-01-24,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1601001,F,<18,F,BLACK,40.707239816000026,-73.79272672599996,Q,103,0.0
375,174303156,2018-02-01,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 160102A,F,<18,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
422,182539882,2018-05-10,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.57482547700005,-73.99092660999997,K,60,0.0
437,182742410,2018-05-15,"ROBBERY,UNCLASSIFIED,OPEN AREAS",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.737082284000046,-73.98296229999994,M,13,0.0
463,206448298,2019-12-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.80544176100005,-73.95079652799996,M,28,0.0
531,191844885,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,ASIAN / PACIFIC ISLANDER,40.672335358000055,-73.87509685899994,K,75,0.0
552,194684265,2019-03-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,25-44,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
569,191933811,2019-01-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.68595935900004,-73.99263140799997,K,84,0.0
570,204380425,2019-10-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK HISPANIC,40.83778161800007,-73.91945797099999,B,44,0.0
579,196259026,2019-04-21,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK,40.701468316000046,-73.80413052199998,Q,103,0.0
620,198350093,2019-06-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,65+,M,BLACK HISPANIC,40.83895694700004,-73.91643164099997,B,44,0.0
752,197203654,2019-05-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,45-64,M,BLACK,40.70061394900006,-73.74367009299993,Q,105,0.0
756,198983984,2019-06-26,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.60766949400005,-74.12105391899996,S,121,0.0
769,192399533,2019-01-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.68962896100004,-73.97312673399995,K,88,0.0
810,200862140,2019-08-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.68004872600005,-73.77590919399995,Q,113,0.0
825,198611639,2019-06-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.68964821100008,-73.92405412199997,K,81,0.0
843,192138390,2019-01-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK,40.68617950700008,-73.94447718599997,K,79,0.0
850,199737269,2019-07-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,BLACK,40.68401628400005,-74.00164919899998,K,76,0.0
854,191778791,2019-01-02,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,25-44,M,BLACK,40.76539747500004,-73.98570226399994,M,18,0.0
857,192621803,2019-01-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,25-44,M,WHITE HISPANIC,40.82338729100008,-73.87017044999999,B,43,0.0
894,197265969,2019-05-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,M,BLACK,40.57556809600004,-73.98093364699997,K,60,0.0
940,195542878,2019-04-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,WHITE HISPANIC,40.82338729100008,-73.87017044999999,B,43,0.0
957,200078209,2019-07-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,<18,M,BLACK,40.810398494000026,-73.92489531099994,B,40,0.0
970,191845446,2019-01-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,45-64,M,WHITE HISPANIC,40.62322681900008,-74.14922697299994,S,121,0.0
1030,204471536,2019-11-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,F,BLACK,40.68874336800008,-73.94498708099997,K,79,0.0
1078,196866266,2019-05-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,WHITE HISPANIC,40.70744736400008,-73.79214176799996,Q,103,0.0
1086,198959355,2019-06-26,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.70192048800004,-73.94391587999996,K,90,0.0
1095,200773388,2019-08-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,F,BLACK,40.82130294000007,-73.86679271899999,B,43,2.0
1150,196737054,2019-05-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,45-64,M,BLACK,40.762043893000055,-73.82732958099996,Q,109,0.0
1185,192890887,2019-01-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
1260,193114867,2019-02-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102B,F,18-24,M,WHITE HISPANIC,40.71078159500007,-73.96809360499998,K,90,0.0
1263,191802759,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,25-44,M,BLACK,40.64502274600005,-74.07721684699999,S,120,0.0
1291,194068504,2019-02-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,F,BLACK,40.82229848500003,-73.91169413099993,B,42,0.0
1306,193831827,2019-02-21,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.68004872600005,-73.77590919399995,Q,113,0.0
1444,196905990,2019-05-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.79665110000008,-73.96847863199997,M,24,0.0
1446,197520251,2019-05-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,<18,M,BLACK HISPANIC,40.769340904000046,-73.84173346899996,Q,109,0.0
1458,197716756,2019-05-28,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,<18,M,AMERICAN INDIAN/ALASKAN NATIVE,40.73388303300004,-74.00542831099995,M,6,0.0
1469,204319889,2019-10-28,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,<18,M,WHITE HISPANIC,40.762043893000055,-73.82732958099996,Q,109,0.0
1493,203907104,2019-10-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE,40.73388303300004,-74.00542831099995,M,6,0.0
1506,201627077,2019-08-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.76539747500004,-73.98570226399994,M,18,0.0
1547,203409269,2019-10-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,F,BLACK,40.815929553000046,-73.94516735699995,M,32,0.0
1562,191984184,2019-01-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.75626620700007,-73.99050124799999,M,14,3.0
1580,191886675,2019-01-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.82970756500004,-73.91312607799995,B,44,0.0
1603,202635094,2019-09-19,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,<18,M,BLACK,40.76690500600006,-73.96373101899997,M,19,0.0
1605,191857575,2019-01-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.71234778300004,-74.00088158399996,M,5,0.0
1620,201614351,2019-08-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.64514168000005,-73.90231447799994,K,69,0.0
1677,191821546,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,WHITE,40.72046384000004,-74.00685220399998,M,1,0.0
1697,193357322,2019-02-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102B,F,25-44,M,WHITE HISPANIC,40.85406923500005,-73.86670902399999,B,49,0.0
1709,194580044,2019-03-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,ASIAN / PACIFIC ISLANDER,40.86940749200005,-73.87999831299999,B,52,0.0
1790,204390458,2019-10-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.72197895800008,-73.99333452499997,M,5,0.0
1804,192059600,2019-01-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,<18,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
1807,194835615,2019-03-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.80855767700007,-73.95235475399994,M,28,0.0
1830,200816267,2019-08-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,18-24,M,BLACK,40.72906475000008,-73.81102013199995,Q,107,0.0
1850,193008267,2019-01-31,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,WHITE,40.726293088000034,-73.73476084899994,Q,105,0.0
1911,192870352,2019-01-28,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,F,WHITE HISPANIC,40.84166126500003,-73.87232133999998,B,48,1.0
1912,194420143,2019-03-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE HISPANIC,40.76690500600006,-73.96373101899997,M,19,0.0
1915,194477167,2019-03-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.62384888900005,-74.08197985899994,S,120,0.0
1935,192173001,2019-01-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,WHITE HISPANIC,40.71634415200003,-74.00125319299997,M,5,0.0
1946,201447736,2019-08-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,F,BLACK,40.79605784000006,-73.96705230699996,M,24,0.0
1989,201013196,2019-08-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,BLACK,40.638437090000025,-73.95115746999994,K,67,0.0
2011,195021389,2019-03-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.81608766100004,-73.89582435399996,B,41,0.0
2088,192343476,2019-01-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,45-64,F,BLACK,40.798293080000064,-73.94186988299998,M,25,0.0
2099,195934249,2019-04-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,25-44,M,BLACK,40.67597640200006,-73.96302338199996,K,77,0.0
2131,194669551,2019-03-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,F,BLACK,40.84437933300006,-73.88901772699995,B,48,0.0
2182,193784213,2019-02-20,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.74296235400004,-73.95527424799997,Q,108,0.0
2193,191844625,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,WHITE HISPANIC,40.76500555400003,-73.99156133399998,M,18,0.0
2197,202068076,2019-09-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.85580274300003,-73.84390995399997,B,49,0.0
2209,192015565,2019-01-08,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK HISPANIC,40.85358740100003,-73.90059135599995,B,46,0.0
2233,204945475,2019-11-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,WHITE HISPANIC,40.75010533300008,-73.87490412999995,Q,115,0.0
2255,197122439,2019-05-13,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.69536744700008,-73.98324342499996,K,84,0.0
2272,192172994,2019-01-11,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,ASIAN / PACIFIC ISLANDER,40.62572501600005,-73.99104937999994,K,66,0.0
2318,204185078,2019-10-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.60225170300004,-73.99350852599997,K,62,0.0
2325,201829114,2019-09-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,<18,F,BLACK HISPANIC,40.81476323600003,-73.95880615499993,M,26,2.0
2340,192399219,2019-01-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.671187460000056,-73.91698070599995,K,73,0.0
2342,195080602,2019-03-24,"ROBBERY,CAR JACKING",ROBBERY,PL 1601003,F,<18,M,BLACK,40.86948809300003,-73.85461631099997,B,49,0.0
2367,192097804,2019-01-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.74420426600005,-73.88560822899996,Q,110,0.0
2419,204432384,2019-10-31,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.81843272700007,-73.94514361699999,M,32,0.0
2422,199957280,2019-07-19,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE,40.75794273400004,-73.98557030899997,M,18,1.0
2427,193251270,2019-02-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,WHITE HISPANIC,40.77423777900003,-73.98210072399996,M,20,0.0
2428,195073765,2019-03-23,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,25-44,M,BLACK,40.69833089400004,-73.91749507299994,K,83,0.0
2475,198890740,2019-06-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,M,ASIAN / PACIFIC ISLANDER,40.762043893000055,-73.82732958099996,Q,109,0.0
2516,192917504,2019-01-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,WHITE HISPANIC,40.762043893000055,-73.82732958099996,Q,109,0.0
2517,192623907,2019-01-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,<18,M,WHITE HISPANIC,40.65799306600008,-74.00069344599996,K,72,0.0
2519,204122653,2019-10-23,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,BLACK,40.82338729100008,-73.87017044999999,B,43,0.0
2544,192542595,2019-01-20,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK,40.80719775400007,-73.92429928699994,B,40,0.0
2546,194883280,2019-03-18,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK HISPANIC,40.71781477800005,-73.78489818799994,Q,107,0.0
2561,195043119,2019-03-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601503,F,<18,M,WHITE HISPANIC,40.74296235400004,-73.95527424799997,Q,108,0.0
2580,204283549,2019-10-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,18-24,M,BLACK HISPANIC,40.810398494000026,-73.92489531099994,B,40,0.0
2625,192591709,2019-01-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,25-44,M,BLACK,40.67483425900008,-73.91942041999994,K,73,0.0
2636,191862856,2019-01-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,BLACK,40.68962245400007,-73.96014913199997,K,88,0.0
2676,195562670,2019-04-04,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,45-64,M,ASIAN / PACIFIC ISLANDER,40.68004872600005,-73.77590919399995,Q,113,0.0
2691,195166462,2019-03-26,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,18-24,M,BLACK HISPANIC,40.756594678000056,-73.87560301799994,Q,115,0.0
2828,191933804,2019-01-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,18-24,M,BLACK,40.85035684000008,-73.88298943099994,B,48,0.0
2873,193670084,2019-02-17,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE HISPANIC,40.866162675000055,-73.90269845299997,B,52,0.0
2896,198899719,2019-06-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE,40.70921690400007,-73.87016557699997,Q,104,0.0
2903,193290451,2019-02-07,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.86940749200005,-73.87999831299999,B,52,0.0
2925,195229889,2019-03-27,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK HISPANIC,40.84489187500003,-73.91027624499998,B,44,0.0
2936,194633800,2019-03-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK,40.80202349600006,-73.91206416599994,B,40,97.0
2987,192308895,2019-01-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,WHITE HISPANIC,40.85078368500007,-73.93782623199996,M,34,0.0
3006,193181914,2019-02-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.71398914600008,-73.99871367299994,M,5,0.0
3015,198752080,2019-06-20,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,25-44,M,BLACK,40.73599613900007,-73.98945769999995,M,13,0.0
3024,192062489,2019-01-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,<18,M,ASIAN / PACIFIC ISLANDER,40.756594678000056,-73.87560301799994,Q,115,0.0
3062,192704975,2019-01-24,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,<18,M,BLACK HISPANIC,40.64886713300007,-73.95082189999994,K,67,0.0
3121,198099905,2019-06-05,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.67320098900007,-73.95416021599993,K,77,0.0
3134,202480220,2019-09-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,BLACK,40.810398494000026,-73.92489531099994,B,40,0.0
3161,192097360,2019-01-09,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,BLACK,40.66018670200003,-73.89398452999995,K,75,0.0
3162,197514640,2019-05-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,F,BLACK,40.84023413800003,-73.91768411399994,B,44,0.0
3176,202328830,2019-09-12,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,WHITE HISPANIC,40.81631908400004,-73.91720429499998,B,40,0.0
3210,198692058,2019-06-19,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,25-44,M,BLACK HISPANIC,40.71634415200003,-74.00125319299997,M,5,0.0
3228,197436089,2019-05-21,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,18-24,M,WHITE HISPANIC,40.74500029700005,-73.87012832399995,Q,110,0.0
3293,193410448,2019-02-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601501,F,18-24,M,BLACK,40.88733281800006,-73.84725001299995,B,47,0.0
3328,192116427,2019-01-10,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.815929553000046,-73.94516735699995,M,32,0.0
3336,205178007,2019-11-15,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601002,F,<18,M,WHITE HISPANIC,40.84249739400008,-73.86658041399994,B,49,0.0
3339,192277952,2019-01-14,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,<18,F,WHITE HISPANIC,40.762043893000055,-73.82732958099996,Q,109,0.0
3353,195420229,2019-04-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,BLACK,40.76539747500004,-73.98570226399994,M,18,0.0
3377,193974425,2019-02-25,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.67141166300007,-73.88151172399995,K,75,0.0
3382,196238907,2019-04-20,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,WHITE HISPANIC,40.83778161800007,-73.91945797099999,B,44,0.0
3398,203108826,2019-10-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,25-44,M,BLACK,40.66469185300008,-73.88918332299994,K,75,0.0
3432,197766773,2019-05-29,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.68964821100008,-73.92405412199997,K,81,0.0
3478,192593756,2019-01-22,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,F,18-24,M,BLACK,40.762043893000055,-73.82732958099996,Q,109,0.0
3497,194007597,2019-02-26,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.82229848500003,-73.91169413099993,B,42,0.0
3551,202048656,2019-09-06,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601504,F,25-44,M,BLACK,40.810398494000026,-73.92489531099994,B,40,0.0
3607,195413828,2019-04-01,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,25-44,M,BLACK,40.80022202900005,-73.93084834199993,M,25,2.0
3613,191802743,2019-01-03,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601502,F,18-24,M,BLACK HISPANIC,40.82867545800008,-73.94398971599998,M,30,0.0
3616,201403082,2019-08-21,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,F,<18,M,WHITE HISPANIC,40.85580274300003,-73.84390995399997,B,49,0.0
3668,194779412,2019-03-16,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,F,45-64,M,BLACK,40.85580274300003,-73.84390995399997,B,49,0.0
